hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
Bohol Tropics Resort,3.0,"2,120",3.5,4.0,3.5,3.5,3.5,259,/Hotel_Review-g294259-d569046-Reviews-Bohol_Tropics_Resort-Bohol_Island_Bohol_Province_Visayas.html
717 Cesar Place Hotel,3.5,0,4.0,3.5,4.0,4.0,4.0,56,/Hotel_Review-g1066348-d10065490-Reviews-717_Cesar_Place_Hotel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Aliria Bed & Breakfast,2.5,733,4.0,3.5,4.0,4.0,4.0,37,/Hotel_Review-g1066348-d10687244-Reviews-Aliria_Bed_Breakfast-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Tropical Stay Accommodations,3.0,"1,071",4.5,0,0,0,0,11,/Hotel_Review-g1066348-d14184080-Reviews-Tropical_Stay_Accommodations-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
TR3ATS Guest House - Bohol,3.0,902,4.0,3.5,4.5,4.0,4.0,60,/Hotel_Review-g1066348-d7173219-Reviews-TR3ATS_Guest_House_Bohol-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Kew Hotel,3.5,"2,589",0,0,0,0,0,61,/Hotel_Review-g1066348-d10687628-Reviews-Kew_Hotel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Flushing Meadows Resort & Playground,3.0,0,3.5,3.0,3.5,3.5,3.0,138,/Hotel_Review-g294259-d670566-Reviews-Flushing_Meadows_Resort_Playground-Bohol_Island_Bohol_Province_Visayas.html
Staylite Park Bed and Breakfast,2.5,850,4.0,4.0,4.5,4.0,4.0,38,/Hotel_Review-g1066348-d9456419-Reviews-Staylite_Park_Bed_and_Breakfast-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Sun Avenue Pension,3.0,"1,241",3.5,4.0,4.0,4.0,4.0,80,/Hotel_Review-g1066348-d1510062-Reviews-Sun_Avenue_Pension-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Flower Beach & Dive Resort Bohol,2.5,"2,429",3.5,3.5,3.5,4.0,3.0,67,/Hotel_Review-g1872021-d676071-Reviews-Flower_Beach_Dive_Resort_Bohol-Anda_Bohol_Island_Bohol_Province_Visayas.html
Harbour Gardens Tourist Inn,2.5,"1,384",0,0,0,0,0,13,/Hotel_Review-g1066348-d9856228-Reviews-Harbour_Gardens_Tourist_Inn-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Calape Forest Resort,3.0,"1,300",5.0,5.0,4.0,0,0,7,/Hotel_Review-g1761240-d12913867-Reviews-Calape_Forest_Resort-Calape_Bohol_Island_Bohol_Province_Visayas.html
1 Peace Guesthouse,0,950,4.5,5.0,5.0,5.0,0,7,/Hotel_Review-g1872021-d12709748-Reviews-1_Peace_Guesthouse-Anda_Bohol_Island_Bohol_Province_Visayas.html
Old Castle,0,"2,200",4.5,5.0,5.0,5.0,5.0,16,/Hotel_Review-g1872021-d10440931-Reviews-Old_Castle-Anda_Bohol_Island_Bohol_Province_Visayas.html
7P2 Bed and Breakfast,2.5,900,4.5,4.5,4.5,4.5,3.5,21,/Hotel_Review-g1598851-d6578242-Reviews-7P2_Bed_and_Breakfast-Carmen_Bohol_Island_Bohol_Province_Visayas.html
Gonzala Suites,0,"1,700",4.5,4.5,5.0,5.0,5.0,9,/Hotel_Review-g1598851-d14066327-Reviews-Gonzala_Suites-Carmen_Bohol_Island_Bohol_Province_Visayas.html
Anda de Boracay White Sand Beach Resort,3.0,"2,500",3.5,4.5,4.5,3.5,4.0,44,/Hotel_Review-g294259-d3320092-Reviews-Anda_de_Boracay_White_Sand_Beach_Resort-Bohol_Island_Bohol_Province_Visayas.html
Sweet Home Boutique Hotel,3.5,"2,857",4.5,2.5,5.0,5.0,5.0,17,/Hotel_Review-g1066348-d10670425-Reviews-Sweet_Home_Boutique_Hotel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Zenith Inn & Resto Bar,3.0,"1,400",0,0,0,0,0,12,/Hotel_Review-g1872021-d12395722-Reviews-Zenith_Inn_Resto_Bar-Anda_Bohol_Island_Bohol_Province_Visayas.html
Dayview Tourist Home,2.5,893,4.0,4.5,4.5,4.0,4.0,33,/Hotel_Review-g1066348-d8075005-Reviews-Dayview_Tourist_Home-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Soledad Suites,3.0,0,4.0,4.0,4.5,4.5,4.5,54,/Hotel_Review-g1066348-d1390177-Reviews-Soledad_Suites-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Bohol Lahoy Dive Resort,3.0,840,4.5,4.5,5.0,4.5,4.5,60,/Hotel_Review-g294259-d4331494-Reviews-Bohol_Lahoy_Dive_Resort-Bohol_Island_Bohol_Province_Visayas.html
