hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
Diamond Suites & Residences,3.0,"2,108",3.5,4.5,4.0,4.0,4.0,272,/Hotel_Review-g298460-d1989765-Reviews-Diamond_Suites_Residences-Cebu_City_Cebu_Island_Visayas.html
Sampaguita Suites-Plaza Garcia,2.5,974,3.5,4.0,3.5,3.5,4.0,251,/Hotel_Review-g298460-d1772448-Reviews-Sampaguita_Suites_Plaza_Garcia-Cebu_City_Cebu_Island_Visayas.html
Hotel Pier Cuatro,2.5,"1,340",0,0,0,0,0,393,/Hotel_Review-g298460-d1582492-Reviews-Hotel_Pier_Cuatro-Cebu_City_Cebu_Island_Visayas.html
Dynasty Tourist Inn,3.0,"1,122",0,0,0,0,0,78,/Hotel_Review-g298460-d1229455-Reviews-Dynasty_Tourist_Inn-Cebu_City_Cebu_Island_Visayas.html
Tsai Hotel & Residences,3.0,"1,579",4.0,4.5,4.5,4.0,4.0,68,/Hotel_Review-g298460-d5308846-Reviews-Tsai_Hotel_Residences-Cebu_City_Cebu_Island_Visayas.html
Golden Prince Hotel & Suites,4.0,0,3.5,4.5,4.0,3.5,3.5,203,/Hotel_Review-g298460-d1386349-Reviews-Golden_Prince_Hotel_Suites-Cebu_City_Cebu_Island_Visayas.html
The Maxwell Hotel,3.0,938,3.5,4.0,4.0,4.0,4.0,118,/Hotel_Review-g298460-d1467277-Reviews-The_Maxwell_Hotel-Cebu_City_Cebu_Island_Visayas.html
Travelbee Business Inn,2.5,967,3.5,4.0,4.0,4.0,4.5,77,/Hotel_Review-g298460-d6847429-Reviews-Travelbee_Business_Inn-Cebu_City_Cebu_Island_Visayas.html
The Center Suites,2.0,"1,020",4.0,4.0,4.0,4.0,4.0,103,/Hotel_Review-g298460-d3518676-Reviews-The_Center_Suites-Cebu_City_Cebu_Island_Visayas.html
S Hotel & Residences,3.0,0,4.0,3.5,5.0,4.5,5.0,45,/Hotel_Review-g298460-d10752239-Reviews-S_Hotel_Residences-Cebu_City_Cebu_Island_Visayas.html
Paragon Suites,3.0,892,3.5,4.0,3.5,4.0,4.0,100,/Hotel_Review-g298460-d1229287-Reviews-Paragon_Suites-Cebu_City_Cebu_Island_Visayas.html
